长城,GreatWall 
奔富,Penfolds
拉菲,LAFITE
张裕,CHANGYU 
黄尾袋鼠,Yellow Tail
杰卡斯,Jacob’s Creek
干露,Concha y Toro 
纷赋,WolfBlass
莫高,MOGAO 
红魔鬼,Casillero del Diablo
蒙特斯,MONTES 
爱之湾,Andimar 
王朝,DYNASTY 
香奈,J.P.CHENET 
智象,Chilephant
洛神山庄,
加州乐事,
通化,TONGHUA
慕拉 ,
威龙,WILON
帝力,
西夫拉姆,SAFLAM
罗莎庄园,
桃乐丝,Torres
圣芝,suamgy
长白山 ,
贝灵哲,Beringer
曼拉维,MAANAE
圣丽塔,
山图,ShanTu
卡斯特,Kasteel 
路易拉菲,Louis lafon 
图利斯,
罗莎 ,
酩悦,Moet&amp;Chandon
小红帽,Rotkappchen 
星得斯,SIDUS WINE
尼雅,niya 
茅台,MOUTAI 
托卡伊,Tokaji
翡马,BORDEAUXVINEAM
大托卡伊,
拉蒙,
类人首,
奥瑞安,
丰收,
公牛血,EGRI BIKAVER
木桐,
卡维留里,CAVICCHIOLI
帕尔曼,PERLMAN
贺兰山,
醉鹅娘,
卡梅罗西,COMTE ROSSI
罗蒂,laudi
布朗兄弟酒庄,Brown Brothers
巴黎庄园,CMP
卡特尔,
莱茵黑森,
宜兰树,Vina Inigo
通天,
麦格根,McGUIGAN
若诗庄园,ROSEMOUNT
尚尼酒庄,
傲鱼,AOYO
夏迪,Hardys
天鹅庄,
洛瑞斯,Loris
玛利亚之情,
蜜黛,mythet
名庄靓年,
威赛帝斯,
芙华,la fiole
雷司,
泸州老窖,
罗曼尼康帝庄园,
路易亚都世家,Louis Jadot 
拉索尔菲,sol vin rouge
光之颂亿,MAISON DE GRAND ESPRIT
蒙大菲,ROBERT MONDAVI
天阶,BABYLONSTOREN
美绚,
克鲁斯大帝,RESERVE DELLACROIX
蓝仙姑,
名仕罗纳德,
怡园酒庄,GRACE VINEYARD
木桐嘉棣,MOUTON CADET
小龙船,
西莫,san simon
波尔多,
也买酒,yesmywine
贾斯汀,DIVINE JUSTINE
佳沃,joyvio
弗莱斯凯罗,CIELO e TERRA
法尔凯特,MOSCATO DASTI
卡伯纳,
奥兰,
玛歌酒庄,Chateau Margaux
美尼尔城堡,
露森,Dr. Loosen
中澳袋鼠,C&A kangaroo
布多格,
作品一号,Opus One
丁戈树,dinggeshu
双洋,TWO OCEANS
华东,HUADONG
山地文,SANDEMAN
DILE,
活灵魂,ALMAVIVA
袋鼠,roo
香格里拉,shangri-la
慕狮王子,
拉图嘉利,
卡思黛乐,CASTEL
康涅克,
新天,SUNTIME
云惜,Yancy Icewine
托布雷,
菲斯奈特,Freixenet
凯缘春,
法莱雅,
玛拉尼,MARANI
格拉洛,Gelaluo
风时亚,FRANZIA
君顶,
集美,
爱欧公爵,ATRIO
汉凯,Henkell
魔决,
阿维娃,AVIVA
安徒生,
乐朗,LAULAN DUCOS
利达民,Lindemans
西施佳雅,
卡聂高,
朵雅,
璞立,Beaulieu Vineyard
卡赛欧,
银色高地,
圣母之泉,Blaue Quelle
白洋河,BAIYANGHE
醉慕,
玛茜,RocheMazet
拉图酒庄,
本格拉,BENGUELA COVE
杰卡斯,
富隆胜卡罗,
琳赛,LINDSAY WINE ESTATE
龙船,
巴黎之光,
贝灵哲,
露歌,
禾富,blass
贺兰红,
奥斯曼,AOSIMAN
恋爱季,AMORE STAGIONE
菲利普-德-罗斯柴尔德男爵,
蒙帕斯丽尔,MOONPASILER
圣宁,SAITNIN
尚威雅克,
吉家乐世家,E. Guigal
火烈鸟,
彼得美德,
利腾,litten
白马歌,
DONSIMO,
音符,AWJS
金蝴蝶,Golden Butterfly face
天鹅庄,AUSWAN CREEK
澜,
力士金,
佩高,CHATEAU PEGAU
五女山,
云南红,
海豚鸟,
海列巴,KHAREBA
尼德堡,
PASQUA,
梦时刻,mosketto
罗马假日,
雅立,YALI
昭雅,
卡柏莱,
爱佳诺,
舒特家族,
WINEBOSS,
PENFOLDS MAX'S,
詹姆士酒庄,
罗伯乐富齐,Rupert & Rothschild Classique
首彩,HANDPICKED
红蔓庄园,TARAPACA
拉梦堡,LAMENGBAO
图雷,
意大利之花,
诗培纳,
驼铃,TUO LING
杜鹏特,LES DUPANT
龙船酒庄,
保罗酒庄,
博列诺,
路易城堡,CHATEAU LOUIS
拉罗兰,
三只熊,Three Bears
麦洛威尔,MELLOWELL
彭索酒庄,
哈列吧,KHAREBA
唯浓,RAYNE VIGNEAU
芭诺斯,
梦坡,
